,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
3106,male,group C,some high school,standard,none,58,67,53
3107,female,group B,master's degree,free/reduced,completed,55,64,65
3108,female,group A,some high school,free/reduced,none,50,68,57
3109,female,group B,master's degree,free/reduced,completed,73,95,95
3110,female,group C,high school,standard,none,30,29,20
3111,female,group D,master's degree,standard,none,62,67,74
3112,female,group D,some college,standard,none,76,74,84
3113,female,group C,high school,free/reduced,none,33,35,35
3114,male,group E,some high school,standard,none,84,75,64
3115,female,group E,master's degree,standard,none,78,94,90
3116,male,group D,some high school,free/reduced,none,47,38,41
3117,male,group C,high school,standard,none,68,56,57
3118,female,group B,some high school,standard,none,33,52,46
3119,male,group C,master's degree,free/reduced,none,57,51,57
3120,male,group E,high school,free/reduced,completed,54,60,50
3121,male,group C,bachelor's degree,standard,none,94,81,80
3122,male,group D,some college,free/reduced,none,73,57,57
3123,male,group B,bachelor's degree,free/reduced,none,54,52,48
3124,male,group D,associate's degree,standard,none,62,45,47
3125,male,group D,some high school,standard,none,62,46,50
3126,female,group C,high school,free/reduced,none,39,67,60
3127,female,group D,some college,free/reduced,none,64,84,92
3128,female,group C,high school,standard,none,48,57,61
3129,female,group B,bachelor's degree,standard,none,72,82,88
3130,female,group E,high school,free/reduced,none,62,64,65
3131,male,group B,some high school,free/reduced,completed,50,42,51
3132,male,group D,some high school,standard,completed,70,66,66
3133,female,group D,associate's degree,free/reduced,completed,42,63,59
3134,male,group C,associate's degree,free/reduced,completed,63,63,73
3135,male,group D,some college,free/reduced,none,63,60,64
3136,female,group D,some high school,standard,none,64,81,81
3137,female,group E,associate's degree,standard,completed,100,81,93
3138,male,group A,high school,free/reduced,completed,70,66,65
3139,female,group C,bachelor's degree,standard,completed,47,56,60
3140,male,group D,high school,free/reduced,none,66,74,78
3141,female,group D,master's degree,standard,none,75,94,95
3142,female,group B,some high school,free/reduced,none,28,31,22
3143,male,group C,associate's degree,standard,none,56,66,61
3144,female,group D,master's degree,standard,none,70,78,82
3145,male,group E,some college,standard,none,87,80,74
3146,male,group D,some college,standard,none,73,55,56
3147,female,group D,master's degree,standard,none,52,64,65
3148,female,group D,master's degree,standard,none,88,103,98
3149,female,group C,some college,standard,none,61,67,70
3150,female,group D,some high school,free/reduced,completed,35,61,66
3151,male,group C,some college,free/reduced,none,69,60,39
3152,male,group C,associate's degree,standard,completed,102,91,94
3153,male,group C,associate's degree,standard,none,68,75,70
3154,female,group D,associate's degree,free/reduced,none,59,64,56
3155,female,group D,high school,free/reduced,none,46,52,53
3156,female,group D,associate's degree,free/reduced,none,53,65,53
3157,male,group B,some high school,standard,completed,84,86,77
3158,male,group C,some college,free/reduced,completed,73,69,68
3159,male,group D,bachelor's degree,free/reduced,completed,67,69,79
3160,male,group C,high school,standard,none,58,56,35
3161,male,group C,high school,free/reduced,none,61,66,59
3162,male,group D,some college,standard,none,73,57,61
3163,male,group D,some college,standard,none,49,61,44
3164,male,group A,high school,standard,none,57,53,60
3165,female,group D,high school,standard,none,59,66,80
3166,male,group D,associate's degree,standard,completed,66,64,67
3167,male,group D,some college,free/reduced,none,61,42,55
3168,male,group B,high school,standard,completed,69,62,66
3169,male,group A,bachelor's degree,standard,completed,86,73,84
3170,female,group D,master's degree,free/reduced,completed,57,58,68
3171,male,group C,some high school,standard,completed,76,72,72
3172,female,group E,associate's degree,standard,completed,80,93,88
3173,male,group A,high school,standard,none,65,46,55
3174,female,group D,some college,free/reduced,none,81,83,88
3175,male,group C,some high school,free/reduced,completed,57,75,60
3176,male,group D,some high school,free/reduced,completed,79,76,83
3177,female,group C,associate's degree,free/reduced,none,56,72,81
3178,male,group E,associate's degree,standard,completed,98,78,72
3179,female,group C,associate's degree,standard,none,65,65,70
3180,female,group E,master's degree,standard,none,77,96,100
3181,male,group C,associate's degree,free/reduced,completed,65,70,56
3182,female,group C,bachelor's degree,standard,none,68,62,83
3183,male,group E,high school,standard,completed,86,80,74
3184,female,group E,some college,standard,none,74,83,78
3185,female,group D,some college,standard,completed,86,93,105
3186,female,group A,bachelor's degree,standard,none,52,49,57
3187,female,group D,some high school,free/reduced,none,66,85,83
3188,male,group A,high school,standard,none,58,53,50
3189,male,group D,some college,standard,completed,77,81,77
3190,female,group B,associate's degree,standard,completed,96,90,90
3191,male,group D,some college,free/reduced,none,56,60,68
3192,female,group A,some college,standard,none,74,79,79
3193,female,group C,some college,standard,none,71,78,83
3194,male,group D,high school,standard,none,59,47,54
3195,female,group C,some college,free/reduced,none,60,74,75
3196,male,group A,high school,standard,none,73,74,63
3197,male,group D,high school,free/reduced,none,52,46,39
3198,female,group B,bachelor's degree,free/reduced,none,79,79,78
3199,male,group D,some high school,standard,none,61,49,43
3200,male,group C,bachelor's degree,standard,none,56,58,40
3201,male,group C,bachelor's degree,standard,none,77,62,69
3202,male,group B,some college,free/reduced,completed,81,76,84
3203,male,group C,high school,standard,completed,49,52,52
3204,male,group B,high school,standard,completed,81,66,51
3205,male,group A,some high school,free/reduced,none,46,39,37
3206,male,group B,some high school,standard,completed,76,75,78
3207,male,group C,associate's degree,free/reduced,none,64,65,53
3208,female,group C,some high school,standard,completed,70,91,81
3209,female,group E,high school,standard,none,75,87,65
3210,female,group C,master's degree,standard,completed,65,87,78
3211,male,group C,associate's degree,standard,none,66,76,67
3212,male,group C,high school,standard,none,56,66,53
3213,female,group D,bachelor's degree,standard,none,82,94,100
3214,female,group C,associate's degree,standard,completed,57,79,85
3215,male,group C,some college,standard,completed,74,79,75
3216,male,group E,some college,standard,none,94,75,78
3217,male,group D,some college,standard,completed,64,80,75
3218,male,group D,some high school,free/reduced,none,59,52,53
3219,female,group B,some college,standard,none,77,76,83
3220,male,group D,associate's degree,standard,none,78,79,74
3221,male,group B,high school,standard,none,75,61,56
3222,female,group D,some high school,standard,none,57,58,59
3223,female,group D,high school,standard,none,78,83,72
3224,male,group E,associate's degree,standard,completed,85,83,70
3225,female,group C,bachelor's degree,free/reduced,completed,48,70,74
3226,male,group E,some college,free/reduced,completed,77,75,67
3227,female,group B,associate's degree,standard,none,82,79,87
3228,male,group C,associate's degree,standard,none,49,44,28
3229,female,group C,some college,standard,none,83,79,92
3230,male,group E,bachelor's degree,standard,none,60,72,74
3231,male,group C,some high school,free/reduced,completed,56,60,54
3232,female,group B,master's degree,free/reduced,completed,83,103,100
3233,male,group B,some high school,free/reduced,completed,42,56,48
3234,male,group D,some college,standard,none,75,76,71
3235,male,group E,some college,free/reduced,completed,50,51,52
3236,female,group A,some college,standard,none,65,80,85
3237,female,group D,associate's degree,free/reduced,none,52,74,81
3238,female,group E,associate's degree,free/reduced,completed,80,88,89
3239,male,group C,high school,free/reduced,none,63,75,57
3240,male,group D,master's degree,standard,none,80,83,76
3241,male,group C,high school,standard,none,67,65,67
3242,female,group E,associate's degree,standard,none,61,62,65
3243,male,group C,associate's degree,standard,completed,68,77,76
3244,male,group B,some high school,standard,completed,67,59,49
3245,female,group C,high school,standard,completed,56,63,75
3246,male,group A,some college,standard,completed,100,99,86
3247,male,group E,some college,standard,none,85,89,73
3248,male,group D,associate's degree,standard,none,72,77,72
3249,female,group D,some college,free/reduced,none,64,82,82
3250,female,group E,high school,free/reduced,none,59,58,53
3251,female,group A,high school,standard,none,61,71,64
3252,female,group E,associate's degree,free/reduced,none,50,61,53
3253,female,group D,some college,standard,none,58,63,60
3254,female,group B,some college,free/reduced,completed,56,68,65
3255,male,group E,some high school,free/reduced,completed,81,61,61
3256,female,group A,some college,standard,completed,80,90,91
3257,female,group E,some high school,free/reduced,none,71,74,75
3258,female,group D,some college,free/reduced,completed,52,82,79
3259,male,group D,bachelor's degree,free/reduced,completed,63,67,75
3260,male,group D,some high school,standard,none,69,65,63
3261,male,group C,associate's degree,standard,completed,72,75,76
3262,female,group C,some high school,free/reduced,none,6,15,11
3263,male,group C,associate's degree,free/reduced,completed,39,44,48
3264,female,group C,bachelor's degree,standard,completed,95,100,98
3265,male,group D,some high school,standard,completed,75,72,72
3266,male,group A,high school,standard,none,59,67,67
3267,male,group D,high school,free/reduced,none,74,81,75
3268,male,group C,associate's degree,free/reduced,none,58,57,58
3269,male,group C,associate's degree,standard,completed,99,93,95
3270,male,group C,some high school,free/reduced,completed,50,66,49
3271,male,group D,associate's degree,standard,completed,66,72,60
3272,female,group B,high school,standard,completed,75,87,88
3273,male,group B,bachelor's degree,free/reduced,none,62,60,60
3274,male,group C,associate's degree,free/reduced,completed,72,78,78
3275,female,group C,some high school,standard,none,75,73,78
3276,female,group B,associate's degree,standard,none,79,89,73
3277,male,group C,some high school,free/reduced,none,66,55,62
3278,female,group C,some college,standard,completed,69,65,73
3279,female,group D,bachelor's degree,standard,completed,67,81,85
3280,female,group E,associate's degree,standard,none,95,93,94
3281,female,group B,high school,free/reduced,none,55,63,68
3282,female,group C,some high school,standard,none,74,90,91
3283,female,group C,some college,standard,completed,83,98,97
3284,female,group B,some high school,free/reduced,completed,76,85,87
3285,male,group D,high school,standard,completed,56,34,49
3286,female,group E,associate's degree,free/reduced,none,81,79,71
3287,male,group E,some high school,standard,completed,79,66,69
3288,female,group B,associate's degree,standard,completed,60,63,72
3289,female,group D,associate's degree,standard,none,70,77,63
3290,male,group E,high school,standard,none,77,62,65
3291,female,group D,some high school,free/reduced,none,55,51,48
3292,female,group C,some college,standard,none,86,83,97
3293,male,group D,master's degree,standard,none,80,87,69
3294,female,group D,some high school,free/reduced,none,50,59,58
3295,male,group D,bachelor's degree,free/reduced,none,63,72,60
3296,male,group B,bachelor's degree,free/reduced,none,52,55,54
3297,female,group B,some college,free/reduced,completed,58,70,69
3298,female,group D,some high school,standard,none,72,81,86
3299,female,group E,bachelor's degree,standard,none,87,79,75
3300,female,group C,associate's degree,standard,completed,59,75,84
3301,female,group A,bachelor's degree,standard,none,57,80,73
3302,male,group D,some high school,standard,completed,87,81,71
3303,female,group C,some college,free/reduced,none,68,58,67
3304,male,group C,bachelor's degree,standard,completed,79,75,72
3305,female,group D,some college,free/reduced,completed,64,68,75
3306,female,group D,some college,free/reduced,completed,58,54,72
3307,female,group D,master's degree,free/reduced,completed,66,69,83
3308,female,group C,associate's degree,standard,none,69,80,81
3309,female,group B,some college,free/reduced,none,75,82,72
3310,male,group E,some high school,standard,completed,80,71,78
3311,female,group A,high school,free/reduced,completed,55,53,59
3312,female,group E,associate's degree,standard,completed,76,83,81
3313,male,group D,some high school,standard,none,61,68,54
3314,male,group D,some college,free/reduced,none,66,63,65
3315,male,group B,associate's degree,standard,none,50,43,50
3316,male,group E,bachelor's degree,standard,completed,74,70,66
3317,male,group B,associate's degree,standard,completed,65,70,68
3318,male,group D,high school,free/reduced,completed,70,67,66
3319,male,group C,high school,free/reduced,completed,48,48,55
3320,male,group E,bachelor's degree,standard,completed,102,102,103
3321,male,group E,high school,standard,none,70,80,73
3322,female,group C,some college,free/reduced,none,27,44,31
3323,female,group C,some college,standard,none,61,74,70
3324,female,group C,some high school,standard,none,41,51,58
3325,female,group D,some high school,standard,none,62,70,79
3326,male,group C,high school,standard,none,71,71,67
3327,male,group C,some high school,free/reduced,none,75,71,62
3328,female,group C,bachelor's degree,free/reduced,none,48,66,68
3329,female,group E,bachelor's degree,standard,none,64,76,78
3330,female,group A,high school,free/reduced,completed,77,88,87
3331,female,group D,high school,standard,completed,70,83,75
3332,female,group A,some college,standard,completed,78,82,85
3333,male,group D,some college,standard,completed,68,74,78
3334,male,group B,some college,standard,completed,81,74,70
3335,female,group A,bachelor's degree,standard,none,51,46,47
3336,male,group A,some high school,standard,completed,45,44,48
3337,male,group D,some high school,standard,none,74,86,81
3338,female,group D,high school,standard,completed,57,53,73
3339,female,group D,associate's degree,standard,completed,62,78,78
3340,female,group D,some college,standard,none,78,63,78
3341,male,group D,high school,standard,none,54,48,48
3342,female,group B,associate's degree,standard,completed,68,72,61
3343,male,group B,high school,standard,none,79,57,68
3344,male,group C,some college,free/reduced,none,29,23,29
3345,male,group A,some high school,standard,completed,47,41,51
3346,female,group C,some college,free/reduced,none,59,65,64
3347,female,group B,bachelor's degree,standard,none,50,63,69
3348,female,group D,some college,free/reduced,completed,70,77,75
3349,male,group C,bachelor's degree,standard,completed,70,75,63
3350,female,group B,some high school,standard,none,65,76,76
3351,male,group D,associate's degree,standard,completed,90,84,80
3352,female,group C,associate's degree,standard,none,89,87,97
3353,female,group C,bachelor's degree,standard,none,90,90,87
3354,female,group E,some college,standard,completed,67,87,74
3355,male,group D,bachelor's degree,free/reduced,completed,74,71,82
3356,female,group D,some high school,standard,completed,63,76,79
3357,male,group B,high school,free/reduced,none,67,49,40
3358,male,group D,associate's degree,standard,none,73,61,74
3359,female,group D,associate's degree,standard,none,85,103,80
3360,female,group E,high school,free/reduced,completed,62,83,77
3361,male,group D,some college,standard,none,58,53,53
3362,female,group D,some high school,free/reduced,completed,48,64,68
3363,male,group D,master's degree,standard,none,87,83,91
3364,female,group D,some high school,free/reduced,completed,68,81,88
3365,male,group A,bachelor's degree,standard,none,84,92,87
3366,female,group D,high school,free/reduced,none,33,54,47
3367,female,group B,high school,standard,completed,66,84,70
3368,male,group A,high school,standard,none,58,47,46
3369,male,group C,master's degree,standard,none,76,65,71
3370,female,group D,some college,standard,none,71,67,84
3371,female,group B,some high school,free/reduced,completed,67,90,92
3372,male,group C,associate's degree,standard,completed,99,82,92
3373,male,group A,some high school,free/reduced,completed,63,64,61
3374,male,group B,some high school,free/reduced,none,45,55,50
3375,female,group D,some college,free/reduced,none,66,69,72
3376,male,group B,some college,standard,none,81,72,75
3377,female,group D,some high school,free/reduced,completed,62,91,86
3378,female,group B,high school,standard,none,61,72,64
3379,male,group A,some college,free/reduced,completed,44,50,55
3380,male,group D,high school,free/reduced,completed,72,63,64
3381,female,group C,high school,standard,none,65,64,64
3382,female,group C,associate's degree,free/reduced,none,59,71,80
3383,female,group E,high school,free/reduced,none,45,41,44
3384,male,group E,some high school,standard,none,94,88,84
3385,male,group C,high school,standard,completed,83,84,79
3386,male,group E,high school,standard,none,88,78,67
3387,female,group E,some college,free/reduced,none,72,74,77
3388,female,group C,high school,free/reduced,completed,51,66,67
3389,female,group D,high school,standard,none,67,68,71
3390,male,group C,some high school,free/reduced,none,64,59,57
3391,male,group C,associate's degree,standard,none,72,80,67
3392,male,group D,high school,standard,none,94,85,78
3393,male,group D,bachelor's degree,free/reduced,completed,84,67,85
3394,male,group E,some high school,standard,completed,94,86,85
3395,male,group D,some college,standard,none,31,43,35
3396,male,group C,master's degree,free/reduced,completed,37,47,41
3397,female,group C,bachelor's degree,standard,none,91,94,94
3398,male,group E,some college,standard,none,90,85,67
3399,female,group C,high school,standard,none,74,82,82
3400,male,group E,bachelor's degree,standard,none,81,62,59
3401,female,group E,high school,standard,none,96,99,99
3402,female,group E,master's degree,standard,completed,93,95,92
3403,male,group C,master's degree,standard,none,74,76,77
3404,male,group E,master's degree,standard,none,88,79,83
3405,female,group D,some high school,free/reduced,none,65,75,88
3406,female,group D,associate's degree,free/reduced,completed,78,91,87
3407,female,group C,some college,standard,none,66,80,77
3408,female,group E,associate's degree,standard,completed,98,102,104
3409,female,group A,master's degree,standard,none,49,49,60
3410,female,group B,some high school,standard,completed,27,44,41
3411,male,group C,master's degree,free/reduced,none,66,73,75
3412,female,group D,master's degree,free/reduced,completed,83,93,97
3413,female,group A,bachelor's degree,standard,none,59,72,64
3414,male,group C,some college,standard,none,63,59,57
3415,female,group C,some college,standard,none,59,74,57
3416,female,group B,associate's degree,standard,completed,93,85,100
3417,male,group E,master's degree,standard,none,89,87,79
3418,female,group A,some college,standard,completed,78,84,92
3419,male,group D,some high school,standard,none,59,67,61
3420,female,group B,some high school,standard,none,68,94,88
3421,male,group D,some college,standard,completed,104,93,105
3422,female,group C,some college,standard,none,67,65,72
3423,male,group D,some college,standard,completed,65,75,69
3424,female,group C,some high school,standard,none,71,64,66
3425,female,group E,bachelor's degree,standard,none,70,65,78
3426,female,group B,associate's degree,standard,none,51,63,66
3427,male,group D,some high school,standard,none,58,47,43
3428,male,group A,bachelor's degree,free/reduced,completed,48,62,55
3429,female,group C,high school,standard,none,19,37,24
3430,female,group B,some college,free/reduced,none,62,70,63
3431,male,group B,high school,standard,completed,76,71,61
3432,male,group D,some high school,standard,none,56,70,67
3433,female,group A,associate's degree,standard,completed,63,60,58
3434,male,group B,bachelor's degree,free/reduced,none,60,69,54
3435,female,group B,associate's degree,free/reduced,none,44,66,62
3436,male,group D,high school,standard,none,59,51,42
3437,male,group D,some college,free/reduced,none,63,62,65
3438,male,group B,high school,standard,completed,69,62,67
3439,male,group B,bachelor's degree,free/reduced,completed,90,98,89
3440,male,group D,bachelor's degree,free/reduced,completed,72,76,77
3441,female,group C,some college,standard,none,55,57,56
3442,male,group B,associate's degree,free/reduced,none,55,63,57
3443,female,group E,bachelor's degree,free/reduced,none,57,57,57
3444,male,group B,associate's degree,free/reduced,none,55,57,55
3445,female,group C,associate's degree,standard,completed,65,84,88
3446,female,group C,master's degree,free/reduced,none,52,69,60
3447,female,group C,some high school,free/reduced,none,53,52,50
3448,male,group C,some high school,free/reduced,none,62,63,57
3449,male,group A,some high school,free/reduced,none,69,76,61
3450,male,group D,bachelor's degree,free/reduced,completed,74,79,85
3451,female,group B,bachelor's degree,free/reduced,none,78,74,72
3452,female,group E,master's degree,free/reduced,none,50,68,58
3453,female,group D,associate's degree,standard,completed,85,84,98
3454,male,group C,some high school,standard,none,58,59,55
3455,female,group D,some high school,free/reduced,none,47,53,53
3456,female,group E,high school,free/reduced,none,67,57,66
3457,male,group B,high school,standard,none,52,51,51
3458,male,group D,bachelor's degree,standard,none,78,74,79
3459,female,group D,associate's degree,free/reduced,none,55,79,69
3460,male,group E,associate's degree,standard,completed,64,59,63
3461,female,group C,associate's degree,free/reduced,none,58,80,73
3462,male,group A,some high school,standard,none,49,53,42
3463,female,group B,some college,standard,none,78,91,98
3464,male,group E,high school,free/reduced,completed,55,50,58
3465,female,group B,some high school,standard,completed,32,52,48
3466,female,group B,some high school,standard,completed,34,52,43
3467,male,group D,some high school,standard,completed,92,92,89
3468,female,group C,some high school,free/reduced,completed,35,31,43
3469,female,group C,bachelor's degree,free/reduced,completed,62,69,84
3470,female,group C,master's degree,free/reduced,none,39,58,53
3471,male,group D,high school,standard,none,38,48,53
3472,male,group B,high school,standard,completed,58,38,49
3473,female,group C,high school,free/reduced,none,43,43,40
3474,male,group E,some high school,standard,completed,69,62,51
3475,female,group E,associate's degree,free/reduced,none,69,79,84
3476,female,group C,some college,standard,none,54,75,74
3477,female,group C,master's degree,standard,completed,75,90,81
3478,female,group D,master's degree,free/reduced,none,40,57,51
3479,female,group C,high school,standard,none,55,65,52
3480,male,group D,some college,standard,completed,66,74,76
3481,female,group B,bachelor's degree,free/reduced,none,76,80,81
3482,female,group C,some college,free/reduced,none,84,92,91
3483,male,group D,some college,standard,none,77,49,51
3484,female,group B,associate's degree,standard,none,85,79,73
3485,female,group E,bachelor's degree,standard,completed,101,99,106
3486,male,group C,some college,standard,none,82,90,83
3487,male,group D,bachelor's degree,standard,completed,62,64,66
3488,male,group E,high school,standard,none,66,53,49
3489,female,group A,associate's degree,standard,completed,64,59,63
3490,male,group C,some college,standard,none,79,93,87
3491,female,group B,high school,standard,completed,81,84,93
3492,female,group B,bachelor's degree,standard,completed,76,76,86
3493,female,group C,associate's degree,standard,completed,64,68,79
3494,female,group E,associate's degree,standard,none,67,60,67
3495,female,group C,master's degree,free/reduced,none,53,60,65
3496,female,group B,master's degree,standard,none,74,89,87
3497,male,group B,associate's degree,standard,completed,59,69,66
3498,female,group E,associate's degree,free/reduced,completed,53,66,73
3499,male,group D,associate's degree,standard,completed,89,89,87
3500,male,group C,high school,free/reduced,none,44,72,57
3501,male,group A,some college,standard,none,52,42,46
3502,male,group A,high school,standard,none,57,58,50
3503,female,group C,some college,standard,none,76,71,69
3504,male,group B,associate's degree,standard,none,94,87,78
3505,female,group E,bachelor's degree,standard,none,41,41,47
3506,male,group C,bachelor's degree,standard,none,65,72,63
3507,male,group D,some high school,standard,none,85,73,72
3508,male,group C,some college,standard,none,55,45,43
3509,female,group C,high school,free/reduced,none,35,46,41
3510,male,group C,associate's degree,standard,none,75,78,70
3511,male,group A,some high school,free/reduced,none,87,77,79
3512,female,group D,some high school,free/reduced,completed,33,49,55
3513,female,group D,some college,free/reduced,completed,49,58,66
3514,female,group C,associate's degree,free/reduced,none,63,75,72
3515,male,group D,bachelor's degree,free/reduced,none,63,74,63
3516,male,group C,some college,standard,none,53,41,41
3517,male,group D,bachelor's degree,free/reduced,completed,81,80,81
3518,female,group C,bachelor's degree,standard,none,77,84,86
3519,male,group D,associate's degree,standard,none,52,63,58
3520,male,group C,high school,standard,none,72,80,69
3521,female,group D,some college,standard,completed,87,87,105
3522,male,group C,master's degree,free/reduced,completed,46,41,44
3523,male,group B,associate's degree,standard,none,57,44,44
3524,male,group B,some college,standard,none,61,57,54
3525,female,group C,associate's degree,standard,completed,91,87,105
3526,male,group D,high school,standard,none,47,51,50
3527,female,group B,bachelor's degree,standard,none,74,75,75
3528,male,group B,associate's degree,standard,completed,58,56,66
3529,female,group A,master's degree,standard,none,53,55,56
3530,female,group D,bachelor's degree,standard,none,85,103,99
3531,male,group D,some college,free/reduced,none,62,68,66
3532,male,group C,some high school,standard,completed,84,68,76
3533,male,group C,bachelor's degree,standard,none,77,77,72
3534,female,group D,some college,standard,completed,68,83,85
3535,male,group A,high school,standard,none,66,45,47
3536,male,group A,some college,free/reduced,none,27,21,27
3537,female,group D,associate's degree,standard,none,78,79,73
3538,female,group B,bachelor's degree,standard,none,69,85,81
3539,female,group B,some college,free/reduced,completed,56,59,54
3540,female,group E,associate's degree,free/reduced,completed,49,69,79
3541,female,group C,associate's degree,standard,completed,67,92,82
3542,female,group B,some college,standard,none,69,74,78
3543,male,group C,some college,standard,none,65,62,58
3544,male,group C,some college,standard,none,87,82,71
3545,female,group B,high school,standard,none,82,93,83
3546,female,group C,associate's degree,free/reduced,none,50,55,56
3547,female,group E,some college,free/reduced,completed,38,61,60
3548,female,group E,some college,free/reduced,none,74,84,66
3549,female,group C,associate's degree,standard,none,48,59,59
3550,female,group D,some high school,standard,completed,90,94,90
3551,female,group C,bachelor's degree,standard,completed,86,93,100
3552,female,group C,associate's degree,standard,completed,54,79,81
3553,male,group A,some high school,free/reduced,none,43,36,26
3554,female,group B,some high school,standard,none,84,77,71
3555,male,group C,associate's degree,standard,none,54,64,65
3556,male,group D,some college,standard,completed,78,61,67
3557,female,group E,high school,free/reduced,completed,63,71,81
3558,male,group D,bachelor's degree,free/reduced,none,71,63,73
3559,male,group C,master's degree,free/reduced,completed,71,62,74
3560,male,group D,associate's degree,standard,completed,66,57,66
3561,female,group C,some high school,standard,completed,75,80,93
3562,male,group D,bachelor's degree,standard,none,74,53,61
3563,female,group B,some college,standard,none,64,61,62
3564,female,group B,high school,standard,none,70,77,74
3565,female,group C,high school,free/reduced,none,44,67,56
3566,male,group C,high school,free/reduced,none,29,27,36
3567,male,group C,associate's degree,standard,none,93,78,85
3568,female,group A,associate's degree,standard,none,84,102,97
3569,female,group E,bachelor's degree,standard,completed,99,97,101
3570,male,group B,associate's degree,standard,completed,87,91,79
3571,male,group B,bachelor's degree,standard,none,66,59,52
3572,male,group B,associate's degree,standard,completed,85,82,82
3573,male,group D,some college,standard,none,37,48,30
3574,male,group D,some college,free/reduced,none,82,66,67
3575,female,group D,some high school,free/reduced,none,29,27,31
3576,female,group B,high school,standard,completed,77,77,88
3577,female,group C,some college,standard,none,57,64,68
3578,female,group C,associate's degree,standard,completed,64,77,81
3579,male,group A,master's degree,free/reduced,none,66,70,74
3580,female,group C,high school,standard,none,67,70,57
3581,female,group B,high school,standard,none,57,69,64
3582,female,group C,some college,free/reduced,none,41,65,63
3583,male,group A,high school,free/reduced,none,49,61,45
3584,male,group D,some high school,free/reduced,none,68,46,44
3585,female,group D,some college,free/reduced,none,68,81,72
3586,female,group B,some high school,free/reduced,none,44,59,60
3587,female,group E,high school,standard,completed,56,62,70
3588,female,group C,bachelor's degree,free/reduced,none,62,74,80
3589,female,group C,high school,free/reduced,none,46,48,51
3590,male,group B,high school,standard,none,77,53,70
3591,male,group B,some college,free/reduced,none,50,61,45
3592,female,group C,high school,standard,none,59,73,74
3593,male,group C,high school,standard,completed,79,77,85
3594,female,group E,associate's degree,standard,completed,94,89,88
3595,female,group C,associate's degree,standard,none,53,50,61
3596,female,group D,high school,standard,none,60,54,57
3597,female,group C,high school,free/reduced,none,67,78,70
3598,male,group E,associate's degree,free/reduced,completed,77,72,69
3599,male,group B,associate's degree,free/reduced,completed,82,78,74
3600,female,group D,high school,free/reduced,none,35,46,52
3601,male,group B,some college,standard,completed,67,65,61
3602,female,group D,high school,standard,none,70,71,78
3603,female,group C,some high school,free/reduced,none,51,60,47
3604,male,group D,associate's degree,standard,none,82,58,55
3605,male,group C,master's degree,standard,completed,98,84,85
3606,female,group C,some high school,free/reduced,completed,70,82,80
3607,female,group B,high school,free/reduced,none,69,67,62
3608,male,group A,high school,free/reduced,none,58,51,41
3609,male,group D,some college,free/reduced,none,64,54,65
3610,male,group D,bachelor's degree,free/reduced,none,55,48,49
3611,male,group D,associate's degree,standard,none,68,59,74
3612,female,group B,some high school,standard,none,71,81,86
3613,male,group C,associate's degree,standard,completed,77,73,71
3614,male,group B,high school,standard,none,45,47,35
3615,male,group E,high school,standard,none,88,81,68
3616,female,group C,associate's degree,standard,completed,71,69,76
3617,male,group D,high school,standard,none,46,39,38
3618,female,group C,associate's degree,standard,completed,53,58,60
3619,female,group A,associate's degree,standard,none,84,88,100
3620,female,group C,some high school,free/reduced,completed,30,40,44
3621,female,group B,master's degree,free/reduced,completed,61,72,78
3622,female,group C,some high school,standard,completed,93,98,90
3623,female,group D,associate's degree,free/reduced,completed,73,88,86
3624,male,group D,master's degree,standard,none,76,86,77
3625,female,group C,associate's degree,standard,none,68,62,65
3626,female,group E,bachelor's degree,standard,none,74,79,79
3627,male,group A,some high school,standard,none,64,46,48
3628,female,group D,associate's degree,free/reduced,none,19,23,39
3629,male,group B,some high school,standard,completed,69,70,67
3630,female,group C,high school,free/reduced,none,35,58,48
3631,female,group C,bachelor's degree,standard,completed,80,90,90
3632,male,group D,some high school,standard,none,64,61,58
3633,female,group A,some high school,standard,none,69,83,80
3634,female,group E,high school,free/reduced,none,64,58,63
3635,male,group C,master's degree,free/reduced,completed,57,60,73
3636,female,group B,high school,free/reduced,completed,68,76,87
3637,female,group E,high school,standard,completed,75,78,87
3638,female,group E,associate's degree,standard,completed,82,84,94
3639,male,group E,associate's degree,standard,none,77,64,64
3640,female,group B,some college,free/reduced,none,67,66,68
3641,male,group D,some college,free/reduced,none,73,61,62
3642,female,group A,high school,standard,completed,68,78,78
3643,female,group C,some high school,free/reduced,completed,62,75,72
3644,male,group D,some college,standard,none,71,71,74
3645,female,group B,high school,standard,none,68,65,74
3646,female,group D,bachelor's degree,standard,none,74,91,83
3647,female,group C,some college,free/reduced,none,41,43,36
3648,male,group A,high school,standard,none,75,76,65
3649,female,group C,master's degree,free/reduced,none,35,58,54
3650,female,group D,some college,standard,completed,87,98,89
3651,male,group A,high school,standard,none,56,57,57
3652,male,group E,some high school,standard,none,37,29,23
3653,female,group A,associate's degree,free/reduced,none,45,52,49
3654,female,group D,associate's degree,standard,completed,53,75,83
3655,male,group E,high school,standard,none,79,64,61
3656,male,group D,some college,standard,completed,64,58,59
3657,female,group C,some college,standard,none,78,86,91
3658,male,group C,high school,standard,none,77,73,62
3659,male,group E,bachelor's degree,standard,completed,75,68,68
3660,female,group B,associate's degree,free/reduced,none,51,73,62
3661,male,group A,some college,free/reduced,none,76,87,80
3662,female,group C,high school,standard,none,61,63,72
